
,,ENTERPRISE SIZE,"All enterprises","    Micro-enterprises (0-9 employees)","  More than 10 employees","    Small enterprises (10-49 employees)","    Medium enterprises (50-249 employees)"
"ECONOMY","USE OF ICT","YEAR",
"Argentina","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Argentina","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Australia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Australia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Austria","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",17.9173,15.0316,30.2783
"Austria","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",19.4332,16.8375,30.1088
"Azerbaijan","    B7: Proportion of businesses receiving orders over the Internet","2015",3.85,0.65,6.56,4.21,8.68
"Azerbaijan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Belarus","    B7: Proportion of businesses receiving orders over the Internet","2015",40.79,41.91,40.38,44.76,36.92
"Belarus","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Belgium","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",26.015,23.4322,35.2322
"Belgium","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",25.6096,22.4914,37.5001
"Bermuda","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Bermuda","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Brazil","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Brazil","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Bulgaria","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",8.74,8.0962,11.2475
"Bulgaria","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",8.607799999999999,7.8689,11.2235
"Cameroon","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Cameroon","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Canada","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Canada","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Chile","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Chile","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"China","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"China","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"China, Hong Kong SAR","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"China, Hong Kong SAR","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"China, Macao SAR","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"China, Macao SAR","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Colombia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Colombia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Croatia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",20.1758,18.3716,24.3355
"Croatia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",18.6131,17.2387,22.4175
"Cuba","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Cuba","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Cyprus","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",11.0061,7.8174,26.7424
"Cyprus","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",13.4414,10.7004,29.3822
"Czechia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",24.8886,23.0004,28.1767
"Czechia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",26.5865,24.6959,30.3134
"Denmark","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",27.4275,24.918,36.1254
"Denmark","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",29.0266,26.5484,37.5791
"Dominican Republic","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Dominican Republic","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Ecuador","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Ecuador","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Egypt","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Egypt","    B7: Proportion of businesses receiving orders over the Internet","2016",4.87,"..",4.87,2.94,9.640000000000001
"El Salvador","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"El Salvador","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Estonia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",15.1043,13.1395,22.1164
"Estonia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",18.3222,16.3901,24.9594
"Finland","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",19.4645,15.926,33.3598
