WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
512,AFG,GGXCNL_NGDP,Afghanistan,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.118,-0.628,1.526,-0.785,-0.052,-0.045,-0.058,-0.074,-0.089,2018
914,ALB,GGXCNL_NGDP,Albania,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.054,-1.762,-1.392,-1.631,-2.544,-2,-1.908,-1.761,-1.605,-1.667,2018
612,DZA,GGXCNL_NGDP,Algeria,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.185,3.801,0.751,-5.916,-1.865,0.587,3.912,2.93,-3.576,-1.895,9.701,3.74,1.164,4.876,5.259,13.631,13.961,6.598,9.616,-5.807,-0.038,-0.104,-4.435,-0.4,-7.3,-15.267,-13.051,-6.647,-4.812,-8.072,-5.825,-5.408,-3.306,-1.565,-0.26,2018
614,AGO,GGXCNL_NGDP,Angola,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.304,2.189,0.763,0.081,0.348,0.373,0.493,0.375,2018
311,ATG,GGXCNL_NGDP,Antigua and Barbuda,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.128,-4.094,-0.854,-2.585,-4.595,-4.152,-1.727,0,-1.758,-3.355,-4.887,-9.401,-9.734,-8.113,-4.354,-4.806,-7.464,-5.647,-5.368,-17.895,-0.277,-3.497,-1.108,-4.296,-2.87,-2.6,-0.145,-1.498,-4.249,-4.205,-4.346,-4.677,-5.114,-5.471,-5.796,2018
213,ARG,GGXCNL_NGDP,Argentina,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.025,-1.289,-2.137,-2.898,-1.895,-1.884,-3.817,-3.526,-5.618,-1.979,1.548,3.967,3.341,1.65,0.757,0.352,-1.83,-1.393,-2.746,-3.018,-3.254,-4.252,-6.001,-6.655,-6.703,-5.225,-3.965,-2.68,-3.126,-2.993,-2.724,-2.925,2018
911,ARM,GGXCNL_NGDP,Armenia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.976,-1.95,-2.334,-1.757,-7.686,-4.979,-2.876,-1.495,-1.593,-1.943,-4.837,-5.632,-4.786,-1.827,-1.496,-2.221,-1.926,-1.9,-1.9,-1.8,2018
314,ABW,GGXCNL_NGDP,Aruba,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.834,-2.343,-2.102,0.113,0.086,0.644,-0.825,-3.203,1.916,-8.632,-2.993,-2.589,-1.071,1.517,-2.688,-3.579,-6.651,-9.242,-6.396,-7.861,-1.625,-1.634,-2.987,-2.22,-0.675,-0.852,-0.77,-0.619,-0.498,-0.369,2018
193,AUS,GGXCNL_NGDP,Australia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.478,0.927,-0.232,-2.794,-4.753,-4.735,-3.801,-2.61,-1.46,-0.494,-0.246,0.667,1.254,-0.03,0.193,1.054,1.328,1.712,1.777,1.478,-1.102,-4.572,-5.128,-4.53,-3.511,-2.813,-2.919,-2.802,-2.507,-1.691,-0.818,-0.721,-0.712,-0.282,0.074,0.164,0.151,2018
122,AUT,GGXCNL_NGDP,Austria,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.355,-3.028,-2.57,-2.946,-2.137,-4.542,-5.013,-6.141,-4.357,-2.372,-2.669,-2.618,-2.063,-0.658,-1.865,-1.382,-4.839,-2.541,-2.563,-1.382,-1.521,-5.356,-4.453,-2.577,-2.189,-1.95,-2.729,-1.046,-1.578,-0.7,0.106,0.05,-0.178,-0.114,0.208,0.419,0.54,2018
