Country or Area,Alpha-3 code,Days between first COVID-19 case and border closure,First border closure announced,First COVID-19 reported,Latitude (average),Longitude (average)
Zimbabwe,ZWE,4,24/3/2020,20/3/2020,-20,30
Libya,LBY,-9,16/3/2020,25/3/2020,25,17
Ecuador,ECU,17,17/3/2020,29/2/2020,-2,-77.5
Russian Federation,RUS,45,16/3/2020,31/1/2020,60,100
Kyrgyzstan,KGZ,-4,14/3/2020,18/3/2020,41,75
Belize,BLZ,-8,16/3/2020,24/3/2020,17.25,-88.75
Côte d’Ivoire,CIV,10,22/3/2020,12/3/2020,8,-5
Latvia,LVA,15,17/3/2020,2/3/2020,57,25
Bahamas,BHS,-5,12/3/2020,17/3/2020,24.25,-76
India,IND,43,13/3/2020,30/1/2020,20,77
Hungary,HUN,-2,2/3/2020,4/3/2020,47,20
Honduras,HND,4,16/3/2020,12/3/2020,15,-86.5
Senegal,SEN,13,15/3/2020,2/3/2020,14,-14
Guinea-Bissau,GNB,-8,18/3/2020,26/3/2020,12,-15
Iraq,IRQ,21,16/3/2020,24/2/2020,33,44
Chile,CHL,12,15/3/2020,3/3/2020,-30,-71
United States of America,USA,60,20/3/2020,20/1/2020,38,-97
Denmark,DNK,16,14/3/2020,27/2/2020,56,10
Djibouti,DJI,0,18/3/2020,18/3/2020,11.5,43
Ethiopia,ETH,9,23/3/2020,14/3/2020,8,38
Ghana,GHA,9,23/3/2020,14/3/2020,8,-2
Kuwait,KWT,16,11/3/2020,24/2/2020,29.3375,47.6581
Argentina,ARG,23,26/3/2020,3/3/2020,-34,-64
Greece,GRC,18,15/3/2020,26/2/2020,39,22
Mozambique,MOZ,9,1/4/2020,23/3/2020,-18.25,35
Rwanda,RWA,5,20/3/2020,15/3/2020,-2,30
Republic of Moldova,MDA,10,17/3/2020,7/3/2020,47,29
Cuba,CUB,11,24/3/2020,13/3/2020,21.5,-80
Lao People's Democratic Republic,LAO,6,30/3/2020,24/3/2020,18,105
Madagascar,MDG,-6,15/3/2020,21/3/2020,-20,47
Liechtenstein,LIE,13,18/3/2020,5/3/2020,47.1667,9.5333
Oman,OMN,9,4/3/2020,24/2/2020,21,57
Maldives,MDV,9,16/3/2020,7/3/2020,3.25,73
Iceland,ISL,19,20/3/2020,1/3/2020,65,-18
Saudi Arabia,SAU,5,7/3/2020,2/3/2020,25,45
Azerbaijan,AZE,0,29/2/2020,29/2/2020,40.5,47.5
Saint Kitts and Nevis,KNA,-1,25/3/2020,26/3/2020,17.3333,-62.75
Bolivia (Plurinational State of),BOL,9,20/3/2020,11/3/2020,-17,-65
Cabo Verde,CPV,-1,19/3/2020,20/3/2020,16,-24
Colombia,COL,8,14/3/2020,6/3/2020,4,-72
Zambia,ZMB,54,11/5/2020,18/3/2020,-15,30
Thailand,THA,68,21/3/2020,13/1/2020,15,100
Sudan,SDN,2,16/3/2020,14/3/2020,15,30
Nepal,NPL,51,14/3/2020,23/1/2020,28,84
Bhutan,BTN,17,23/3/2020,6/3/2020,27.5,90.5
Ireland,IRL,23,24/3/2020,1/3/2020,53,-8
Austria,AUT,15,11/3/2020,25/2/2020,47.3333,13.3333
Portugal,PRT,10,12/3/2020,2/3/2020,39.5,-8
New Zealand,NZL,15,14/3/2020,28/2/2020,-41,174
North Macedonia,MKD,16,13/3/2020,26/2/2020,41.8333,22
Italy,ITA,40,9/3/2020,29/1/2020,42.8333,12.8333
Kenya,KEN,64,17/5/2020,14/3/2020,1,38
Mali,MLI,-1,25/3/2020,26/3/2020,17,-4
Sierra Leone,SLE,-4,28/3/2020,1/4/2020,8.5,-11.5
Pakistan,PAK,2,28/2/2020,26/2/2020,30,70
Barbados,BRB,2,20/3/2020,18/3/2020,13.1667,-59.5333
Australia,AUS,55,20/3/2020,25/1/2020,-27,133
Sweden,SWE,48,19/3/2020,31/1/2020,62,15
Estonia,EST,19,17/3/2020,27/2/2020,59,26
Guatemala,GTM,1,16/3/2020,15/3/2020,15.5,-90.25
Saint Lucia,LCA,8,23/3/2020,15/3/2020,13.8833,-61.1333
Guinea,GIN,12,26/3/2020,14/3/2020,11,-10
Slovakia,SVK,6,12/3/2020,6/3/2020,48.6667,19.5
Central African Republic,CAF,13,27/3/2020,14/3/2020,7,21
Bulgaria,BGR,9,17/3/2020,8/3/2020,43,25
Croatia,HRV,23,19/3/2020,25/2/2020,45.1667,15.5
Costa Rica,CRI,10,18/3/2020,8/3/2020,10,-84
Mongolia,MNG,6,16/3/2020,10/3/2020,46,105
Uganda,UGA,1,22/3/2020,21/3/2020,1,32
Guyana,GUY,13,26/3/2020,13/3/2020,5,-59
South Africa,ZAF,11,16/3/2020,5/3/2020,-29,24
Benin,BEN,2,19/3/2020,17/3/2020,9.5,2.25
Canada,CAN,48,14/3/2020,26/1/2020,60,-95
Gabon,GAB,0,14/3/2020,14/3/2020,-1,11.75
Mauritania,MRT,3,17/3/2020,14/3/2020,20,-12
Norway,NOR,18,15/3/2020,26/2/2020,62,10
Finland,FIN,50,19/3/2020,29/1/2020,64,26
Indonesia,IDN,29,31/3/2020,2/3/2020,-5,120
China,CHN,83,3/4/2020,11/1/2020,35,105
Tunisia,TUN,8,10/3/2020,2/3/2020,34,9
Jamaica,JAM,11,21/3/2020,10/3/2020,18.25,-77.5
El Salvador,SLV,-8,11/3/2020,19/3/2020,13.8333,-88.9167
Suriname,SUR,-1,14/3/2020,15/3/2020,4,-56
Afghanistan,AFG,0,24/2/2020,24/2/2020,33,65
Nicaragua,NIC,12,31/3/2020,19/3/2020,13,-85
Armenia,ARM,-6,24/2/2020,1/3/2020,40,45
Niger,NER,1,20/3/2020,19/3/2020,16,8
Brazil,BRA,21,18/3/2020,26/2/2020,-10,-55
Cyprus,CYP,6,15/3/2020,9/3/2020,35,33
Paraguay,PRY,10,18/3/2020,8/3/2020,-23,-58
Bahrain,BHR,12,7/3/2020,24/2/2020,26,50.55
Slovenia,SVN,27,31/3/2020,4/3/2020,46,15
Turkey,TUR,7,18/3/2020,11/3/2020,39,35
Bosnia and Herzegovina,BIH,14,19/3/2020,5/3/2020,44,18
Peru,PER,9,16/3/2020,7/3/2020,-10,-76
Syrian Arab Republic,SYR,-1,22/3/2020,23/3/2020,35,38
Dominican Republic,DOM,17,19/3/2020,2/3/2020,19,-70.6667
Lebanon,LBN,20,12/3/2020,21/2/2020,33.8333,35.8333
Romania,ROU,25,22/3/2020,26/2/2020,46,25
Jordan,JOR,15,17/3/2020,2/3/2020,31,36
San Marino,SMR,21,20/3/2020,28/2/2020,43.7667,12.4167
South Sudan,SSD,-14,23/3/2020,6/4/2020,8,30
Somalia,SOM,24,9/4/2020,16/3/2020,10,49
Fiji,FJI,-1,18/3/2020,19/3/2020,-18,175
Papua New Guinea,PNG,-40,9/2/2020,20/3/2020,-6,147
Israel,ISR,-18,3/2/2020,21/2/2020,31.5,34.75
