Row Labels,2003,2004,2006,2007,2008,2009,2010,2011,2012,2015,2016,2017
Albania,,,,,34,,,,,,,
Argentina,,,,,,,,,,48.9,,
Barbados,,,,,,65,,,,,,
Belize,,,,,,67.4,,,,,,
Benin,,,4,,,,,,,,,
Brazil,,,,,,,42.4,,,,,
Burkina Faso,,,,,,,,,,2.3,,
Burundi,,,,,,,3.5,,,,,
Cameroon,,,,,,,,,,7.9,,
China,,,,,,,,,,26.5,,28.2
Colombia,,,,,,,,,,39.6,,
Congo,,,,,,,,,3.9,,,
Croatia,,,,,,,,68,,,,
Cyprus,,,,68.2,,,,,,,,
Dominican Republic,,,,,,,,,,39.2,,
El Salvador,,,,,,,,,,26.8,,
Gambia,12.1,,,,,,,,,,,
Guatemala,,,,,,,,,,,,19.8
Haiti,,,,,,,,,,2.1,,
Honduras,,,,,,,,,,18.3,,
India,,,,,,,,,,,3.7,
Indonesia,,,,,,,,,,15.4,,
Iran (Islamic Republic of),,,,,,,,,,,,48
Japan,,,,83.6,,,,,,,,
Jordan,,,,,,,39.3,,,,,
Kazakhstan,,,,,,,,,,43.1,,
Malaysia,,,,,,,,,,44,,
Mali,,,,,,,,,,0.1,,
Mongolia,,,,,,,,,,60.2,,
Myanmar,,,,,,,,,,2.9,,
Oman,,,,,,14.7,,,,,,
Panama,,,,,,,,,,,,1
Paraguay,,,,,,,,,21.7,,,
Philippines,,,,,,,,,,,,26
Poland,,,,,95.2,,,,,,,
Republic of Moldova,,,,,,,,71.6,,,,
Russian Federation,,,,,,,79.1,,,,,
Slovenia,,,,,,,,,,80.5,,
Spain,,,,,,,,,,,76.2,
Sri Lanka,,,,,,,,,,,,80
Togo,,,,,2.2,,,,,,,
Trinidad and Tobago,,,65.5,,,,,,,,,
Tunisia,,36.4,,,,,,,,,,
Turkey,,,,,,,38.6,,,,,
United Republic of Tanzania,,,,1.6,,,,,,,,
Uruguay,,,,,54.7,,,,,,,
Viet Nam,,,,,,,,,,21.1,,
Zambia,,,,,,,,,,12.2,,
