ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,11.164,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,9.32,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,16.574,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,17.532,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,13.118,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,30.919,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,8.292,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_RUR,Area type: Rural,2020,7.585,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_URB,Area type: Urban,2020,10.332,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,10.365,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,9.621,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,12.436,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,16.277,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,13.457,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,24.765,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,7.855,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_RUR,Area type: Rural,2020,7.944,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_URB,Area type: Urban,2020,7.616,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,14.062,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,8.296,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,34.837,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,21.325,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,12.103,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,49.965,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,10.02,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_RUR,Area type: Rural,2020,6.287,,
AFG,Afghanistan,XA:2198,AFG - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_URB,Area type: Urban,2020,24.717,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,6.774,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,1.005,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,12.379,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,15.737,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,2.281,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,30.136,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,3.533,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_RUR,Area type: Rural,2020,0.512,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_T,Sex: Total,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_URB,Area type: Urban,2020,6.367,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,6.919,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,1.535,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,11.855,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,17.043,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,3.407,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,30.944,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,3.442,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_RUR,Area type: Rural,2020,0.844,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_M,Sex: Male,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_URB,Area type: Urban,2020,5.739,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_NAT,Area type: National,2020,6.631,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_RUR,Area type: Rural,2020,0.51,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE15,"Age (Youth, adults): 15+",GEO_COV_URB,Area type: Urban,2020,12.927,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_NAT,Area type: National,2020,14.54,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_RUR,Area type: Rural,2020,1.294,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,"Age (Youth, adults): 15-24",GEO_COV_URB,Area type: Urban,2020,29.358,,
AGO,Angola,XA:2010,AGO - ILO - ILO modelled estimates,UNE_2EAP_SEX_AGE_GEO_RT,"Unemployment rate by sex, age and rural / urban areas -- ILO modelled estimates, Nov. 2019 (%)",SEX_F,Sex: Female,AGE_YTHADULT_YGE25,"Age (Youth, adults): 25+",GEO_COV_NAT,Area type: National,2020,3.625,,
